,id,name,address,location,typecode,type
136,B000A85SAF,东湖渔村(黑卧),穆家峪镇黑卧村,"116.932958,40.459840",50119,餐饮服务;中餐厅;海鲜酒楼
137,B000A81IFP,五洲皇冠巴西烤肉餐厅,北四环中路8号北京五洲皇冠国际酒店1层,"116.405599,39.989862",50215,餐饮服务;外国餐厅;巴西菜
138,B000A81FOA,火凤凰(NAGA上院西南),东直门内大街15-5号(近东直门桥),"116.426673,39.941319",50117,餐饮服务;中餐厅;火锅店
139,B000A7ZJZU,韩味宫烤肉(通胡大街店),通胡大街23-14号,"116.687575,39.914005",50203,餐饮服务;外国餐厅;韩国料理
140,B000A7Q3QL,匹夫涮肉城(清源西路店),黄村镇清源西路55号,"116.320967,39.744082",50117,餐饮服务;中餐厅;火锅店
141,B000A7PYME,满意饭店(西大路),于家务村五街18号二楼(停车场东侧),"116.709866,39.719902",50121,餐饮服务;中餐厅;清真菜馆
142,B000A7P85Q,海花锅盖烧烤店,顺平西路怡馨家园商业街37号楼3-4号(近怡园公园),"116.645780,40.117831",50203,餐饮服务;外国餐厅;韩国料理
143,B000A7CJGE,山釜餐厅,德胜门西大街甲58号,"116.374593,39.948223",50117,餐饮服务;中餐厅;火锅店
144,B000A49B00,箩箩贵州酸汤鱼(方庄店),蒲芳路1-4号芳城园三区15号楼,"116.436928,39.866259",50114,餐饮服务;中餐厅;云贵菜
145,B000A084CB,天山美食城(迎风南路),燕山迎风南路21号,"115.955724,39.722366",50100,餐饮服务;中餐厅;中餐厅
146,B000A8UMMJ,北京海润艾丽华酒店,海淀南路36号,"116.30233,39.97431",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
147,B000A7ZJZ9,喜士蛋糕(武夷花园店),通胡大街5-31号牡丹园西门喜士蛋糕,"116.696069,39.917277",50800,餐饮服务;糕饼店;糕饼店
148,B000A7TAIC,光明餐厅(石花洞店),石花洞风景区113号洞口50米处,"115.948323,39.795522",50100,餐饮服务;中餐厅;中餐厅
